Title,Artist
"Forever (We Sing Hallelujah)","Bethel Music"
"God Is Able","Hillsong Worship"
"Hosanna (Praise Is Rising)","Paul Baloche"
"Refiner","Maverick City Music"
"God Of Revival","Bethel Music"
"He Will Hold Me Fast","Keith & Kristyn Getty"
"Psalm 51 (Lord Have Mercy)","Shane & Shane"
"Holy Forever","Chris Tomlin"
"Gratitude","Brandon Lake"
"Trust In God","Elevation Worship"
"Praise","Elevation Worship"
"I Thank God","Maverick City Music & UPPERROOM"
"Who Else","Gateway Worship"
"The Lord Will Provide","Passion"
"The Church","Bethel Music"
"Mighty Name Of Jesus","The Belonging Co"
"Christus Victor (Amen)","Keith & Kristyn Getty"
"I Know A Name","Elevation Worship"
"Oceans (Where Feet May Fail)","Hillsong UNITED"
"Here I Am To Worship","Tim Hughes"
"Forever Reign","Hillsong Worship"
"The Stand","Hillsong UNITED"
"I Surrender","Hillsong Worship"
"Lord, I Lift Your Name on High","Rick Founds"
"In the Secret","Sonicflood"
"Trading My Sorrows","Darrell Evans"
"Better Is One Day","Matt Redman"
"All I Need Is You","Hillsong UNITED"
"Come Thou Fount","Traditional"
"Be Thou My Vision","Traditional"
"Great Is Thy Faithfulness","Traditional"
"It Is Well (traditional)","Traditional"
"It Is Well (modern arrangement)","Bethel Music"
"Doxology (Praise God From Whom All Blessings Flow)","Traditional"
"Blessed Assurance","Traditional"
"Turn Your Eyes Upon Jesus","Traditional"
"All Creatures of Our God and King","Traditional"
"Rock of Ages","Traditional"
"What a Friend We Have in Jesus","Traditional"
"O Holy Night","Traditional"
"O Come All Ye Faithful","Traditional"
"Hark! The Herald Angels Sing","Traditional"
"Angels We Have Heard on High","Traditional"
"Joy to the World","Traditional"
"Doxology (Modern Arrangement)","Modern Arrangement"
"Come Thou Fount (Modern Arrangement)","Modern Arrangement"
"Be Thou My Vision (Modern Arrangement)","Modern Arrangement"
"Great Is Thy Faithfulness (Modern Arrangement)","Modern Arrangement"
